,District,Latitude,longitude,ACTIVE CASES,CONFIRMED CASES,DECEASED CASES,RECOVERED CASES
448,Bathinda,30.17911535,75.04710156312628,1315,3882,67,2500
449,Faridkot,30.60092505,74.79477422840449,676,1890,30,1184
450,Fatehgarh Sahib,30.6600764,76.38002163710028,177,1363,53,1133
451,Fazilka,30.336099599999997,74.11794319222481,419,1391,20,952
452,Ferozepur,30.6839733,76.3594033,577,2353,60,1716
453,Gurdaspur,31.904229899999997,75.22738141098935,1296,3907,85,2526
454,Hoshiarpur,31.60857425,75.84644246890946,926,2794,82,1786
455,Jalandhar,31.29201065,75.56805772253911,2717,9427,248,6462
456,Kapurthala,31.38524095,75.30552273989395,600,1985,90,1295
457,Ludhiana,30.9090157,75.851601,1858,13262,572,10832
458,Mansa,29.8769971,75.4889866137018,390,1004,15,599
459,Moga,30.7839866,75.16057422541162,523,1822,48,1251
460,Pathankot,32.301710400000005,75.65864246622084,767,2126,34,1325
461,Patiala,30.2090874,76.3398720856221,1583,8314,233,6498
462,Rupnagar,31.09168085,76.5272673916138,337,1256,41,878
463,S.A.S. Nagar,30.8823935,75.8703501,1889,6142,134,4119
464,Sangrur,30.2093363,75.8184224340909,372,2688,111,2205
466,Sri Muktsar Sahib,30.4692,74.5182,601,1617,21,995
467,Tarn Taran,31.32124525,74.84130629340785,348,1157,44,765
468,Karaikal,11.7003,75.5425,290,1237,20,927
470,Puducherry,11.9340568,79.8306447,4224,16867,316,12327
471,Yanam,16.7333666,82.2145164,288,1239,34,917
472,Ajmer,26.4691,74.639,431,5164,83,4650
473,Alwar,27.639077049999997,76.6144524902045,755,8906,31,8120
474,Banswara,23.4930788,74.34840231310622,171,842,7,664
475,Baran,24.9171512,76.69640322489136,283,994,13,698
476,Barmer,25.5819034,71.61966242777196,139,2479,25,2315
477,Bharatpur,27.26521245,77.36912554739122,174,3916,73,3669
478,Bhilwara,25.48877345,74.69961283584024,295,2500,16,2189
479,Bikaner,28.0159286,73.3171367,328,5202,90,4784
480,BSF Camp,23.2200507,69.6614313,0,85,0,85
481,Bundi,25.5,75.833333,372,925,5,548
482,Chittorgarh,24.718026000000002,74.47214697200876,198,1247,10,1039
483,Churu,28.2061443,74.69190729963461,192,1218,8,1018
484,Dausa,26.80486585,76.44374569929329,91,674,9,574
485,Dholpur,26.7009896,77.8967857,188,2515,23,2304
488,Ganganagar,23.7497214,91.87663495294915,192,893,9,692
491,Jaipur,26.916194,75.820349,5366,14657,297,8994
492,Jaisalmer,27.02801615,70.7785056232077,134,528,6,388
493,Jalore,25.3476006,72.6260916,126,1478,13,1339
494,Jhalawar,24.3132368,76.52223626123003,355,2091,7,1729
495,Jhunjhunu,28.1287995,75.3992581,136,1233,7,1090
496,Jodhpur,26.2967719,73.0351433,2076,14812,118,12618
497,Karauli,26.51668105,77.05772976517363,111,680,7,562
498,Kota,25.1968256,76.00089330885552,2546,7371,87,4738
499,Nagaur,27.0607859,74.17667537582712,245,2791,44,2502
500,Pali,25.6040908,73.41560878556902,189,4536,48,4299
501,Pratapgarh,25.75,81.75,183,601,8,410
502,Rajsamand,25.29131615,73.8244924740361,200,1431,18,1213
503,Sawai Madhopur,26.22914115,76.30453277017932,142,671,17,512
504,Sikar,27.662826000000003,75.02792628691331,215,3091,24,2852
505,Sirohi,24.811404699999997,72.83002573160249,91,1519,18,1410
506,Tonk,26.12214725,75.66375373932236,111,809,13,685
507,Udaipur,24.578721,73.6862571,248,2762,34,2480
508,East Sikkim,27.601029,88.45413638680145,337,1446,3,1106
509,North Sikkim,27.601029,88.45413638680145,0,1,0,1
510,South Sikkim,27.601029,88.45413638680145,402,475,0,73
511,West Sikkim,27.601029,88.45413638680145,72,87,0,15
512,Adilabad,19.5,78.5,1276,1291,0,15
513,Bhadradri Kothagudem,17.71534525,80.57149761778712,2774,2778,0,4
514,Hyderabad,17.38878595,78.46106473453146,55467,55795,23,305
515,Jagtial,18.82135895,78.91506632525903,2907,2909,0,2
516,Jangaon,17.7265463,79.25901524867399,1772,1773,0,1
517,Jayashankar Bhupalapally,18.515987199999998,79.96939659792528,973,973,0,0
518,Jogulamba Gadwal,16.0999202,77.73415835077523,2112,2138,1,25
519,Kamareddy,18.316551,78.05393808043348,2935,2943,0,8
520,Karimnagar,18.4346438,79.1322648,6469,6485,0,16
521,Khammam,17.5,80.333333,4516,4519,0,3
523,Mahabubabad,17.7138983,80.04134252767227,2471,2472,0,1
524,Mahabubnagar,16.696568550000002,77.95911462089693,2580,2588,0,8
525,Mancherial,18.8761795,79.4449696,2654,2655,1,0
526,Medak,17.9375095,78.21174498510584,1764,1768,0,4
527,Medchal Malkajgiri,17.53498345,78.52463873502381,9006,9016,1,9
528,Mulugu,18.1932372,79.9413676,993,995,0,2
529,Nagarkurnool,16.415762649999998,78.68304333132829,1933,1935,0,2
530,Nalgonda,16.8579636,79.21749353315548,5207,5219,0,12
531,Narayanpet,16.700551750000002,77.61648447017446,573,574,1,0
532,Nirmal,19.091520950000003,78.39660898429065,1081,1094,0,13
533,Nizamabad,26.055317950000003,82.99313867937335,4567,4597,0,30
534,Peddapalli,18.62065305,79.49501710882896,3026,3027,0,1
535,Rajanna Sircilla,18.452116,78.76455837158737,2278,2280,0,2
536,Ranga Reddy,12.9554461,80.2530374,12954,12973,2,17
537,Sangareddy,17.86859205,77.8228199507381,4155,4161,0,6
538,Siddipet,18.005585099999998,78.89611304969961,3305,3306,0,1
539,Suryapet,17.08001385,79.7925329742427,3282,3306,0,24
540,Vikarabad,17.2702855,77.74529700637382,922,938,1,15
541,Wanaparthy,16.285294399999998,77.98644727021286,1701,1701,0,0
542,Warangal Rural,17.94854255,79.81612399359742,1723,1723,0,0
543,Warangal Urban,18.02625695,79.46444493996634,6164,6187,0,23
544,Yadadri Bhuvanagiri,17.42819665,79.09049097612105,1622,1622,0,0
545,Ariyalur,11.076035950000001,79.11745538182738,227,3271,37,3007
546,Chengalpattu,12.76657415,79.99931906821485,1987,30366,481,27898
547,Chennai,13.0801721,80.2838331,10396,148584,2973,135215
548,Coimbatore,11.0018115,76.9628425,3495,22156,353,18308
549,Cuddalore,11.74269375,79.75030644171935,2966,16275,174,13135
550,Dharmapuri,12.09680475,78.19304301026716,697,2029,20,1312
551,Dindigul,10.3303299,78.0673979084697,762,7863,150,6951
552,Erode,11.369204400000001,77.67662686841793,1043,4534,59,3432
553,Kallakurichi,11.79468465,79.03882106200822,910,7888,87,6891
554,Kancheepuram,12.87960515,79.70427615297989,1273,19425,289,17863
555,Kanyakumari,8.079252,77.5499338,736,10958,207,10015
556,Karur,10.9301522,78.08485454572889,397,2161,32,1732
557,Krishnagiri,12.5188835,78.2206536,858,3174,44,2272
558,Madurai,9.9261153,78.1140983,892,15310,375,14043
559,Nagapattinam,10.805627600000001,79.824659783024,1136,4075,67,2872
560,Namakkal,11.2191319,78.23739801779963,912,3344,50,2382
561,Nilgiris,11.4,76.7,549,2349,17,1783
562,Perambalur,11.2287716,78.81825554962782,112,1545,19,1414
563,Pudukkottai,10.5,78.833333,786,7427,121,6520
564,Ramanathapuram,9.3895523,78.85907071521498,244,5181,113,4824
565,Ranipet,11.6643,78.146,690,12093,145,11258
567,Sivaganga,9.851231,78.53047154820716,236,4521,114,4171
568,Tenkasi,9.09407535,77.47583689833286,553,6260,116,5591
569,Thanjavur,10.7860267,79.1381497,877,8340,128,7335
570,Theni,9.969664300000002,77.47420048524822,786,13775,157,12832
571,Thiruvallur,13.13014755,79.92435386254967,2087,28325,476,25762
572,Thiruvarur,10.73618605,79.63318659437627,700,5267,65,4502
573,Thoothukkudi,8.756745200000001,78.07975266019861,681,12300,119,11500
574,Tiruchirappalli,10.804973,78.6870296,891,8846,133,7822
575,Tirunelveli,8.722388,77.710247,1072,11131,193,9866
576,Tirupathur,12.453306399999999,78.55290857022919,492,3701,73,3136
577,Tiruppur,10.791526650000002,77.53254662905589,1717,4748,85,2946
578,Tiruvannamalai,12.22721295,79.07015554906167,1539,13071,194,11338
579,Vellore,12.7948109,79.0006410968549,932,12629,194,11503
580,Viluppuram,11.9137874,79.50789297942772,880,9441,87,8474
581,Virudhunagar,9.5208936,77.8784563961865,436,13683,202,13045
582,Dhalai,23.8253158,91.9732226716333,854,1953,7,1091
583,Gomati,23.4613369,91.60718003817723,617,2109,21,1470
584,Khowai,24.04673835,91.62320953646798,464,1353,17,872
585,North Tripura,24.092147599999997,92.24512135019847,609,1624,7,1002
587,South Tripura,23.5,91.666667,671,1447,9,764
588,Unokoti,24.19098485,92.04604830534434,560,1165,9,596
589,West Tripura,23.916667,91.5,3303,7053,107,3632
590,Agra,27.1752554,78.0098161,828,4045,113,3104
591,Aligarh,27.87698975,78.13729027600994,1716,6367,31,4620
592,Ambedkar Nagar,26.40349795,82.60728148676125,274,1162,24,864
593,Amethi,26.34738315,81.6238783207884,577,1946,14,1355
594,Amroha,28.9233969,78.48831693262684,450,2158,23,1685
595,Auraiya,26.65573395,79.51504701181831,380,1736,19,1337
596,Ayodhya,26.7990707,82.2052321,1050,4636,55,3531
597,Azamgarh,26.02269675,83.02887343114848,523,3806,61,3222
598,Baghpat,28.97240405,77.33315284938224,170,1093,18,905
599,Bahraich,27.7336958,81.47732127661058,415,2577,42,2120
600,Ballia,25.877932549999997,84.11995931460379,810,4892,58,4024
601,Balrampur,25.452,80.5438,199,1222,20,1003
603,Barabanki,26.93823105,81.38609761204991,1110,5017,42,3865
604,Bareilly,28.457876,79.40557093743058,1952,8462,127,6383
605,Basti,27.25,83.0,453,2956,60,2443
606,Bhadohi,25.422922749999998,82.48843708088575,265,1357,11,1081
607,Bijnor,29.40604895,78.48087839917878,483,2382,26,1873
608,Budaun,28.06831165,79.04607312079293,492,2147,21,1634
609,Bulandshahr,28.38886085,77.97479772598118,556,2923,50,2317
610,Chandauli,25.1265777,83.2496557733391,551,2593,23,2019
611,Chitrakoot,25.2195207,81.102282425,200,954,5,749
612,Deoria,26.42384715,83.76273169028727,915,5035,53,4067
613,Etah,27.5541146,78.60078640304634,408,1354,11,935
614,Etawah,26.718324350000003,79.09025375025163,846,3064,44,2174
615,Farrukhabad,27.43719385,79.48912946503123,439,1762,30,1293
616,Fatehpur,25.8435395,80.91800397088501,418,1756,27,1311
617,Firozabad,27.17736635,78.38991197951182,447,2117,50,1620
618,Gautam Buddha Nagar,28.36760975,77.59740326369902,2008,10192,48,8136
619,Ghaziabad,28.711241,77.4445372,1968,10787,73,8746
620,Ghazipur,25.603508400000003,83.50745404887138,378,3334,33,2923
621,Gonda,27.1096669,81.9183291218813,475,3152,32,2645
622,Gorakhpur,26.67132865,83.36458284327038,2898,12737,187,9652
623,Hamirpur,25.75,80.0,168,848,15,665
624,Hapur,28.740612499999997,77.83542556519009,347,2139,34,1758
625,Hardoi,27.33857665,80.0975264641719,775,3495,47,2673
626,Hathras,27.57324325,78.11173866751716,121,798,7,670
627,Jalaun,26.105546,79.42765264782076,322,1743,16,1405
628,Jaunpur,25.7955927,82.48834097504385,532,4349,57,3760
629,Jhansi,25.531031149999997,78.65268901605349,1051,5674,116,4507
630,Kannauj,26.999697400000002,79.68861212775874,263,2011,17,1731
631,Kanpur Dehat,26.4600465,79.85550999615592,410,1494,16,1068
632,Kanpur Nagar,26.4402119,80.26930513416637,4625,20020,527,14868
633,Kasganj,27.883846050000002,78.63489003747873,268,1158,2,888
634,Kaushambi,25.53609455,81.44672838764605,201,1229,14,1014
635,Kushinagar,26.7438272,83.9162322,710,4096,26,3360
636,Lakhimpur Kheri,27.985060150000002,80.75384538357649,742,3241,38,2461
637,Lalitpur,24.70038485,78.51866758648349,590,1965,27,1348
638,Lucknow,26.8381,80.9346001,9555,39188,516,29117
639,Maharajganj,27.09254225,83.56696261338257,724,3872,50,3098
640,Mahoba,25.36176885,79.70499475331877,139,662,6,517
641,Mainpuri,27.2098219,79.04813700847944,572,2178,37,1569
642,Mathura,27.633333,77.583333,777,3096,58,2261
643,Mau,26.0376878,83.49793418499047,395,2008,20,1593
644,Meerut,28.916667,77.683333,1981,6498,171,4346
645,Mirzapur,24.9356347,82.64770129811649,324,2013,26,1663
646,Moradabad,28.8638424,78.80577833091104,1232,6662,120,5310
647,Muzaffarnagar,29.44800635,77.74068502568672,1118,3295,43,2134
648,Pilibhit,28.495207649999998,80.10754080018077,409,2906,47,2450
649,Pratapgarh,25.75,81.75,834,2781,35,1912
650,Prayagraj,25.4381302,81.8338005,3726,14192,216,10250
651,Rae Bareli,26.25,81.25,616,2142,57,1469
652,Rampur,28.79406825,79.1859304458554,712,4235,34,3489
653,Saharanpur,29.9880774,77.5081299470512,1726,5751,75,3950
654,Sambhal,28.61875255,78.55087405404804,261,1878,33,1584
655,Sant Kabir Nagar,26.7882737,82.9600798,232,2260,28,2000
656,Shahjahanpur,27.912633149999998,79.74656294869826,1024,4491,58,3409
657,Shamli,29.5008816,77.34838258540861,506,1702,12,1184
658,Shrawasti,27.2716,82.821,77,825,11,737
660,Sitapur,27.5046392,80.82946583420815,646,2904,24,2234
661,Sonbhadra,24.38657525,83.07863061278505,658,2247,19,1570
662,Sultanpur,26.242510850000002,82.29616931685918,528,2643,41,2074
663,Unnao,26.57550365,80.61376177782856,670,2791,55,2066
664,Varanasi,25.3356491,83.0076292,2092,10761,206,8463
665,Almora,29.703094999999998,79.43317023326716,309,859,3,544
666,Bageshwar,30.0086722,79.9302967950447,143,369,1,225
667,Chamoli,30.499632300000002,79.61879245944404,162,512,0,347
668,Champawat,29.23631315,80.10172076512075,257,511,2,252
669,Dehradun,30.3255646,78.0436813,2890,6962,195,3844
670,Haridwar,29.9384473,78.1452985,1811,6419,63,4521
671,Nainital,29.2031392,79.4176945,1231,3915,72,2601
672,Pauri Garhwal,29.84591115,78.70766746320547,478,1069,10,564
673,Pithoragarh,30.12666775,80.48338013734374,230,635,4,401
674,Rudraprayag,30.3009965,79.06287964782695,256,476,1,218
675,Tehri Garhwal,30.5,78.666667,456,1707,2,1249
676,Udham Singh Nagar,29.048098799999998,79.4313133223357,1226,5647,45,4350
677,Uttarkashi,30.9654214,78.63368731187963,332,1255,4,915
678,Alipurduar,26.4851573,89.5246926,511,3200,27,2662
679,Bankura,23.13195425,87.20739720367507,642,3768,26,3100
680,Birbhum,24.0,87.583333,362,2687,20,2305
681,Cooch Behar,26.3223696,89.4592445,583,4188,20,3585
682,Dakshin Dinajpur,25.38703085,88.50471504999999,401,4424,29,3994
683,Darjeeling,27.0383718,88.2617544,694,6113,91,5328
684,Hooghly,22.9052114,88.3760639,1496,9768,168,8104
685,Howrah,22.5736296,88.3251045,895,15045,449,13701
686,Jalpaiguri,26.626483649999997,88.73407701468993,546,4640,39,4055
687,Jhargram,22.3770636,87.04867177362203,54,358,2,302
688,Kalimpong,27.07169,88.4729,86,610,3,521
689,Kolkata,22.54541245,88.3567751581234,4151,46047,1461,40435
690,Malda,25.0057449,88.1398483,382,5514,47,5085
691,Murshidabad,24.1745993,88.2721335,608,4300,52,3640
692,Nadia,23.48454125,88.55676307470536,914,5303,63,4326
693,North 24 Parganas,22.7182799,88.64248090898516,4538,41067,876,35653
694,Paschim Bardhaman,23.64260775,87.16448126068323,1081,5248,44,4123
695,Paschim Medinipur,22.3599134,87.41331447600871,1360,6745,78,5307
696,Purba Bardhaman,23.391717,87.90621212355462,621,3642,25,2996
697,Purba Medinipur,22.06382145,87.74573460267038,1477,8386,84,6825
698,Purulia,23.032189,89.5911025,467,2073,6,1600
699,South 24 Parganas,22.1815262,88.53780483989941,1331,13528,247,11950
700,Uttar Dinajpur,25.8707958,87.96259728449391,321,2773,27,2425
701,North and Middle Andaman,12.61123865,92.83165406414926,0,1,0,1
702,South Andaman,10.7056905,92.48746789633373,19,51,0,32
703,Anantapur,14.6546235,77.55625984224562,4288,49306,407,44611
704,Chittoor,13.1601048,79.15555061803596,8477,49398,525,40396
705,East Godavari,17.233496,81.7225986,12098,76808,454,64256
706,Guntur,16.2915189,80.4541588,7750,45338,463,37125
707,Krishna,16.6691525,80.7190024,3074,21274,347,17853
708,Kurnool,15.8309251,78.0425373,4048,51625,417,47160
709,Prakasam,14.4426,79.9865,14379,36442,374,21689
711,Srikakulam,18.32002205,83.91607719937166,6287,32230,286,25657
712,Visakhapatnam,17.7231276,83.3012842,5946,43848,358,37544
713,Vizianagaram,18.1120819,83.4052196224888,9694,27946,196,18056
714,West Godavari,17.0,81.166667,7759,50474,388,42327
715,Y.S.R. Kadapa,14.4752936,78.8216861,6195,36165,306,29664
716,Anjaw,28.1114301,96.82699963398373,27,78,0,51
717,Changlang,27.1398402,95.7382485,97,586,0,489
718,East Kameng,27.3,93.05,21,241,0,220
719,East Siang,28.3,95.15,151,401,1,249
720,Kamle,27.629,84.7645667,0,3,0,3
721,Kra Daadi,27.96354175,93.76656538768381,1,4,0,3
722,Kurung Kumey,27.98636765,93.15783468644102,15,20,0,5
723,Lepa Rada,27.9211266,94.74093620019156,29,78,0,49
724,Lohit,28.035016149999997,96.17135154220676,44,185,0,141
725,Longding,26.879454600000003,95.3155652456941,54,76,0,22
726,Lower Dibang Valley,28.21495625,95.87877403567019,74,122,0,48
727,Lower Siang,27.80069825,94.56502334121075,17,140,0,123
728,Lower Subansiri,27.8,93.6,48,102,0,54
729,Namsai,27.71403055,96.01597093953018,17,212,1,194
730,Pakke Kessang,27.15828555,93.15615024389129,0,28,0,28
731,Papum Pare,27.286366649999998,93.61875168206382,606,2177,4,1567
732,Shi Yomi,28.68516625,94.23678241115617,7,21,0,14
733,Siang,28.477491999999998,94.81655728795752,1,43,0,42
734,Tawang,27.5879186,91.863733,61,218,1,156
735,Tirap,27.03016895,95.49791754505583,59,222,0,163
736,Upper Dibang Valley,28.7,95.7,0,1,0,1
737,Upper Siang,28.73120455,95.03773151350946,35,99,0,64
738,Upper Subansiri,28.3,94.0,29,167,0,138
739,West Kameng,27.4,92.35,84,422,3,335
740,West Siang,28.4,94.55,221,315,0,94
