,Unnamed: 0,District,Latitude,longitude,ACTIVE CASES,CONFIRMED CASES,DECEASED CASES,RECOVERED CASES
380,380,Sehore,23.115688199999997,77.06623939,375,1035,23,637
381,381,Seoni,22.2758789,79.72104465,117,395,6,272
382,382,Shahdol,23.3002343,81.36477099999999,228,848,9,611
383,383,Shajapur,23.37074105,76.62051527,179,652,8,465
384,384,Sheopur,25.6656611,76.6954843,162,659,4,493
385,385,Shivpuri,25.37524125,77.82811933,483,1560,15,1062
386,386,Sidhi,24.25,82.0,202,505,2,301
387,387,Singrauli,24.1974432,82.6661453,106,457,8,343
388,388,Tikamgarh,24.85450275,79.04698124,112,550,15,423
389,389,Ujjain,23.174597,75.78514229999999,407,2183,83,1693
390,390,Umaria,23.64319305,80.94239522,72,213,3,138
391,391,Vidisha,23.916667,78.0,269,1222,27,926
392,392,Aizawl,23.7414092,92.7209297,436,933,0,497
393,393,Champhai,23.69082385,93.3483912,2,17,0,15
394,394,Hnahthial,22.966365600000003,93.01026449,2,2,0,0
395,395,Khawzawl,23.53892045,93.15868391,0,3,0,3
396,396,Kolasib,24.18947525,92.71331813,103,206,0,103
397,397,Lawngtlai,22.34596495,92.81195361,4,33,0,29
398,398,Lunglei,22.898553,92.75192292,10,128,0,118
399,399,Mamit,23.75590845,92.45173569,12,33,0,21
400,400,Saiha,22.499551800000003,92.97798989,4,31,0,27
401,401,Saitual,23.6929995,92.965428,5,9,0,4
402,402,Serchhip,23.385892300000002,92.93059891,6,19,0,13
404,404,Dimapur,25.913591399999998,93.7283707,723,2505,8,1763
405,405,Kiphire,25.81551155,94.841664,11,16,0,5
406,406,Kohima,25.75,94.166667,386,1534,0,1144
407,407,Longleng,26.49031725,94.77214247,0,7,0,6
408,408,Mokokchung,26.479586100000002,94.51052755,17,39,0,22
409,409,Mon,26.8038,94.9767,24,325,0,298
410,410,Peren,25.47907705,93.72563659,3,350,0,347
411,411,Phek,25.75,94.5,1,34,0,33
412,412,Tuensang,26.1685055,94.85819822,3,73,0,70
413,413,Wokha,26.166667,94.25,1,35,0,34
414,414,Zunheboto,26.0,94.5,4,119,0,115
415,415,State Pool,42.56134215,-71.78221148,1037,1037,0,0
416,416,Angul,20.8382426,85.0973949,868,1902,4,1030
417,417,Balangir,20.75,83.25,929,2869,10,1930
418,418,Balasore,21.5002888,86.9202627,1155,5174,20,3999
419,419,Bargarh,21.3474637,83.65427922,1701,4323,9,2613
420,420,Bhadrak,21.0633288,86.50537309999999,906,3887,14,2967
421,421,Boudh,20.8415619,84.3213321,407,1093,0,686
422,422,Cuttack,20.4686,85.8792,3602,13015,51,9362
423,423,Deogarh,21.5370786,84.7301184,126,373,0,247
424,424,Dhenkanal,20.75,85.5,522,2539,2,2015
425,425,Gajapati,19.19557415,84.19297736,213,3152,19,2920
426,426,Ganjam,19.5,84.5,501,19211,223,18487
427,427,Jagatsinghpur,20.2593872,86.1660878,952,2996,6,2038
428,428,Jajpur,20.852269600000003,86.3385714,1492,5734,8,4234
429,429,Jharsuguda,21.87705125,84.00905064,818,2508,1,1689
430,430,Kalahandi,19.75,83.0,582,1977,5,1390
431,431,Kandhamal,20.13069385,84.07904761,492,2844,15,2337
432,432,Kendrapara,20.50040085,86.43170623,1045,3091,4,2042
433,433,Kendujhar,21.5892323,85.66878414,518,2865,10,2337
434,434,Khordha,20.22564715,85.56059465,7034,25996,102,18860
435,435,Koraput,18.7232023,82.60811828,790,4759,7,3962
436,436,Malkangiri,18.35835435,81.89823749,266,2788,11,2511
437,437,Mayurbhanj,21.75,86.5,1269,5618,13,4336
438,438,Nabarangapur,19.60962325,82.29876854,786,2128,4,1338
439,439,Nayagarh,20.116066600000003,85.11195644,604,3797,18,3175
440,440,Nuapada,20.76909975,82.51862846,781,1495,0,714
441,441,Puri,19.807608300000002,85.8252538,2063,6287,28,4196
442,442,Rayagada,18.96599855,84.19287455,712,6086,33,5341
443,443,Sambalpur,21.4,83.883333,881,3987,16,3090
444,444,Subarnapur,27.227494099999998,84.71486465,927,1743,4,812
445,445,Sundargarh,22.25,84.5,870,5533,42,4621
446,446,Amritsar,31.634308299999997,74.8736788,1424,6283,242,4617
447,447,Barnala,30.3704685,75.50401742,417,1436,30,989
448,448,Bathinda,30.17911535,75.04710156,1315,3882,67,2500
449,449,Faridkot,30.60092505,74.79477423,676,1890,30,1184
450,450,Fatehgarh Sahib,30.660076399999998,76.38002164,177,1363,53,1133
451,451,Fazilka,30.336099600000004,74.11794319,419,1391,20,952
452,452,Ferozepur,30.6839733,76.3594033,577,2353,60,1716
453,453,Gurdaspur,31.9042299,75.22738141,1296,3907,85,2526
454,454,Hoshiarpur,31.60857425,75.84644247,926,2794,82,1786
455,455,Jalandhar,31.29201065,75.56805772,2717,9427,248,6462
456,456,Kapurthala,31.38524095,75.30552274,600,1985,90,1295
457,457,Ludhiana,30.9090157,75.851601,1858,13262,572,10832
458,458,Mansa,29.8769971,75.48898661,390,1004,15,599
459,459,Moga,30.783986600000002,75.16057423,523,1822,48,1251
460,460,Pathankot,32.3017104,75.65864247,767,2126,34,1325
461,461,Patiala,30.2090874,76.33987209,1583,8314,233,6498
462,462,Rupnagar,31.09168085,76.52726739,337,1256,41,878
463,463,S.A.S. Nagar,30.8823935,75.8703501,1889,6142,134,4119
464,464,Sangrur,30.2093363,75.81842243,372,2688,111,2205
466,466,Sri Muktsar Sahib,30.4692,74.5182,601,1617,21,995
467,467,Tarn Taran,31.32124525,74.84130629,348,1157,44,765
468,468,Karaikal,11.7003,75.5425,290,1237,20,927
469,469,Mahe,-4.68379555,55.49263801,45,102,0,57
470,470,Puducherry,11.934056800000002,79.83064470000001,4224,16867,316,12327
471,471,Yanam,16.7333666,82.21451640000001,288,1239,34,917
472,472,Ajmer,26.4691,74.639,431,5164,83,4650
473,473,Alwar,27.63907705,76.61445249,755,8906,31,8120
474,474,Banswara,23.4930788,74.34840231,171,842,7,664
475,475,Baran,24.9171512,76.69640322,283,994,13,698
476,476,Barmer,25.581903399999998,71.61966243,139,2479,25,2315
477,477,Bharatpur,27.26521245,77.36912555,174,3916,73,3669
478,478,Bhilwara,25.48877345,74.69961284,295,2500,16,2189
479,479,Bikaner,28.015928600000002,73.3171367,328,5202,90,4784
480,480,BSF Camp,23.220050699999998,69.66143129999999,0,85,0,85
481,481,Bundi,25.5,75.833333,372,925,5,548
482,482,Chittorgarh,24.718026000000002,74.47214697,198,1247,10,1039
483,483,Churu,28.206144300000002,74.6919073,192,1218,8,1018
484,484,Dausa,26.80486585,76.44374570000001,91,674,9,574
485,485,Dholpur,26.7009896,77.89678570000001,188,2515,23,2304
487,487,Evacuees,51.455268200000006,-2.5898439,0,61,0,61
488,488,Ganganagar,23.7497214,91.87663495,192,893,9,692
490,490,Italians,-28.797528399999997,-52.51486056,0,2,0,2
491,491,Jaipur,26.916194,75.820349,5366,14657,297,8994
492,492,Jaisalmer,27.02801615,70.77850562,134,528,6,388
493,493,Jalore,25.347600600000003,72.6260916,126,1478,13,1339
494,494,Jhalawar,24.313236800000002,76.52223626,355,2091,7,1729
